"קטגוריה ראשית","קטגוריה משנית","מוצר","עד 130$","מ131$ עד 500$","מ501$ עד 1000$","מעל 1000$"
"לבית, לגן ולמשרד","כלי אוכל, אפייה ובישול","אביזרי אפייה","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","כלי אוכל, אפייה ובישול","כלי אוכל","","","","18.00%"
"לבית, לגן ולמשרד","כלי אוכל, אפייה ובישול","כלי שולחן מכסף","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","כלי אוכל, אפייה ובישול","כלים חד פעמיים","","","","18.00%"
"לבית, לגן ולמשרד","כלי אוכל, אפייה ובישול","מחבתות","","","",""
"לבית, לגן ולמשרד","כלי אוכל, אפייה ובישול","סירי בישול וטיגון","","","",""
"לבית, לגן ולמשרד","כלי אוכל, אפייה ובישול","סכין","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","כלי אוכל, אפייה ובישול","תבניות אפיה וחימום","","","",""
"לבית, לגן ולמשרד","כלי אוכל, אפייה ובישול","תבנית מפלסטיק להכנת שוקולד","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","כלי אוכל, אפייה ובישול","תכשיטי כסף","","","","18.00%"
"לבית, לגן ולמשרד","מוצרים מינרליים","אבני אודם, ספיר וברקת","","","",""
"לבית, לגן ולמשרד","מוצרים מינרליים","אבני חן למעט אודם,ספיר וברקת","פטור","18.00%","18.00%","פטור"
"לבית, לגן ולמשרד","מוצרים מינרליים","אבני קוורץ","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","מיגון הבית","כספות","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","מיגון הבית","מנעולים","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","מיגון הבית","מערכות גילוי אש","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","מיגון הבית","מערכות הקלטה DVR","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","מיגון הבית","מצלמות אבטחה","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","מיגון הבית","ראיית לילה","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","מצעים, שטיחים וטקסטיל","בד לוילון מחומרי טקסטיל אחרים","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","מצעים, שטיחים וטקסטיל","בד לוילון מכותנה","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","מצעים, שטיחים וטקסטיל","בד לוילון מסיבים סינתטיים","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","מצעים, שטיחים וטקסטיל","מגבות","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","מצעים, שטיחים וטקסטיל","מפות שולחן","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","מצעים, שטיחים וטקסטיל","מצעים","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","מצעים, שטיחים וטקסטיל","שטיחים","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","מצעים, שטיחים וטקסטיל","שמיכות וכריות","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","צביעה, בנייה ושיפוצים","ארגזי כלים","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","צביעה, בנייה ושיפוצים","כלי עבודה לא חשמליים(כללי)","","","","18.00%"
"לבית, לגן ולמשרד","צביעה, בנייה ושיפוצים","מדבקות קיר וטפטים","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","צביעה, בנייה ושיפוצים","צבעי בניין","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","ציוד חירום","תאורת חירום","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","ציוד משרדי","מסמני לייזר","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","צמחייה וגינון","מוצרי חקלאות - זרעים, שתלים","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","צמחייה וגינון","קוטלי עשבים","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","קדושה ודת","כיפות","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","קדושה ודת","כלי כסף ","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","קדושה ודת","תשמישי קדושה לפי דת הנצרות","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","קדושה ודת","תשמישי קדושה לפי דת ישראל","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","ריהוט וציוד לגן","גרילים ומעשנות על גז","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","ריהוט וציוד לגן","מחסנים וארונות שירות","פטור","18.00%","",""
"לבית, לגן ולמשרד","ריהוט וציוד לגן","סולמות","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","ריהוט וציוד לגן","צעצועים לבית ולחצר","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","ריהוט וציוד לגן","ריהוט גן","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","ריהוט לבית","ארונות אמבטיה","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","ריהוט לבית","ארונות בגדים, שידות וכונניות","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","ריהוט לבית","דלתות ","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","ריהוט לבית","חדרי שינה","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","ריהוט לבית","כורסאות","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","ריהוט לבית","כסאות","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","ריהוט לבית","מזנונים ושולחנות טלוויזיה","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","ריהוט לבית","מזרנים","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","ריהוט לבית","מיטות","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","ריהוט לבית","ספות ומערכות ישיבה","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","ריהוט לבית","ריהוט לחדרי ילדים","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","ריהוט לבית","ריהוט לתינוקות","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","ריהוט לבית","שולחנות גיהוץ","","","","18.00%"
"לבית, לגן ולמשרד","ריהוט לבית","שולחנות ופינות אוכל","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","ריהוט לבית","שולחנות מחשב","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","תאורה ואביזרים","מנורות גומחה","","","",""
"לבית, לגן ולמשרד","תאורה ואביזרים","מנורת תלייה / נברשת","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","תאורה ואביזרים","מצתים","פטור","18.00%","18.00%","שיעור 40.66% "
"לבית, לגן ולמשרד","תאורה ואביזרים","מתגים חכמים","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","תאורה ואביזרים","נורות LED","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","תאורה ואביזרים","נורות אדי כספית","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","תאורה ואביזרים","נורות טונגסטן והלוגן","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","תאורה ואביזרים","נורות להט","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","תאורה ואביזרים","נורות פלורוסצנטיות","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","תאורה ואביזרים","תאורה לבית","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","תאורה ואביזרים","תאורת גן","פטור","18.00%","18.00%","18.00%"
"לבית, לגן ולמשרד","תאורה ואביזרים","תקעים ובתי תקע","פטור","18.00%","18.00%","18.00%"
"מוצרי תינוקות","אביזרי האכלה והנקה","כסאות אוכל","פטור","18.00%","18.00%",""
"מוצרי תינוקות","החתלה וניקיון","אמבטיות לתינוק","פטור","18.00%","18.00%","18.00%"
"מוצרי תינוקות","החתלה וניקיון","חיתולי בד לתינוקות ","פטור","18.00%","18.00%","18.00%"
"מוצרי תינוקות","החתלה וניקיון","חיתולים לתינוקות","פטור","18.00%","18.00%","18.00%"
"מוצרי תינוקות","משטחים, טרמפולינות ונדנדות לתינוקות","טרמפולינות ונדנדות לתינוקות","פטור","18.00%","18.00%",""
"מוצרי תינוקות","עגלות, טיולונים ומנשאים","בסיס למושב תינוק לרכב","פטור","18.00%","18.00%","18.00%"
"מוצרי תינוקות","עגלות, טיולונים ומנשאים","מושב בטיחות לתינוק לרכב","פטור","18.00%","18.00%","18.00%"
"מוצרי תינוקות","עגלות, טיולונים ומנשאים","מנשאים לתינוקות","פטור","18.00%","18.00%","18.00%"
"מוצרי תינוקות","עגלות, טיולונים ומנשאים","עגלות וטיולונים","פטור","18.00%","18.00%","18.00%"
"מוצרי תינוקות","תכשירים לתינוק ומוצרים נלווים","טיפוח לילדים ותינוקות","פטור","18.00%","18.00%","18.00%"
"מוצרי תינוקות","תכשירים לתינוק ומוצרים נלווים","מוצצים","פטור","18.00%","18.00%","18.00%"
"מזון ומשקאות ","בשר, עוף ודגים","בקר, טרי","פטור","18.00%","18.00%","18.00%"
"מזון ומשקאות ","בשר, עוף ודגים","בשר אחר, טרי/קפוא, מעובד/גולמי","","","",""
"מזון ומשקאות ","בשר, עוף ודגים","בשר חזיר טרי","","","","שיעור 53.40% "
"מזון ומשקאות ","בשר, עוף ודגים","בשר חזיר קפוא","","","","שיעור 41.60% "
"מזון ומשקאות ","בשר, עוף ודגים","דגים טריים/קפואים, מעובדים/גולמיים","","","",""
"מזון ומשקאות ","בשר, עוף ודגים","דגים מעובדים או משומרים","פטור","18.00%","18.00%","18.00%"
"מזון ומשקאות ","בשר, עוף ודגים","נקניקים","פטור","18.00%","18.00%","18.00%"
"מזון ומשקאות ","בשר, עוף ודגים","נקניקים מבשר עוף","פטור","18.00%","18.00%","18.00%"
"מזון ומשקאות ","בשר, עוף ודגים","עוף, טרי/קפוא, מעובד/גולמי","פטור","18.00%","18.00%"," 18%+5.31 ₪ לקילוגרם אל""י מ-218.60% "
"מזון ומשקאות ","בשר, עוף ודגים","קוויאר","פטור","18.00%","18.00%","18.00%"
"מזון ומשקאות ","בשר, עוף ודגים","שומן חזיר","","","","שיעור 32.16% "
"מזון ומשקאות ","דגנים וקטניות","דגנים וחטיפי דגנים","","","",""
"מזון ומשקאות ","דגנים וקטניות","פסטה, אורז וקטניות","","","",""
"מזון ומשקאות ","חטיפים וממתקים","חטיפים וממתקים","פטור","18.00%","18.00%","18.00%"
"מזון ומשקאות ","חלב, ביצים ומעדנים","אבקת חלב","פטור","18.00%","18.00%","שיעור 209.16% "
"מזון ומשקאות ","חלב, ביצים ומעדנים","גבינות קשות","","",""," 18%+9.94 ₪ לקילוגרם "
"מזון ומשקאות ","חלב, ביצים ומעדנים","גבינות רכות","","",""," 18%+9.94 ₪ לקילוגרם "
"מזון ומשקאות ","חלב, ביצים ומעדנים","חמאה","פטור","18.00%","18.00%","18.00%"
"מזון ומשקאות ","חלב, ביצים ומעדנים","יוגורט ושמנות","פטור","18.00%","18.00%","18.00%"
"מזון ומשקאות ","חלב, ביצים ומעדנים","תחליף חלב","פטור","18.00%","18.00%","שיעור 32.75% "
"מזון ומשקאות ","לחם, מאפים ומוצרי אפייה","מוצרי אפייה","","","",""
"מזון ומשקאות ","לחם, מאפים ומוצרי אפייה","מוצרי בצק ומאפה","","","",""
"מזון ומשקאות ","מזון","מזון מעורב עד 15 ק""ג","פטור","18.00%","18.00%","18.00%"
"מזון ומשקאות ","מזון תינוקות","אבקות חלב בקופסאות","","","",""
"מזון ומשקאות ","מזון תינוקות","מזון לתינוקות","פטור","18.00%","18.00%","18.00%"
"מזון ומשקאות ","מזון תינוקות","תרכובת מזון יעודיות לתינוקות ופעוטות","","","",""
"מזון ומשקאות ","משקאות אלכוהוליים","אלכוהול ומשקאות חריפים"," 18%+118.28 ₪ לליטר אלכוהול "," 18%+118.28 ₪ לליטר אלכוהול "," 18%+118.28 ₪ לליטר אלכוהול "," 18%+118.28 ₪ לליטר אלכוהול "
"מזון ומשקאות ","משקאות אלכוהוליים","בירה מפוקת מלתת מעל 3.8% אלכוהול"," 18%+3.26 ₪ לליטר "," 18%+3.26 ₪ לליטר "," 18%+3.26 ₪ לליטר "," 18%+3.26 ₪ לליטר "
"מזון ומשקאות ","משקאות אלכוהוליים","בירה מפוקת מלתת עד 3.8% אלכוהול","18.00%","18.00%","18.00%","18.00%"
"מזון ומשקאות ","משקאות אלכוהוליים","יין","שיעור 32.16% + 1.71 ₪ לליטר אל""פ מ- 18%+6.16 ₪ לליטר","שיעור 32.16% + 1.71 ₪ לליטר אל""פ מ- 18%+6.16 ₪ לליטר","שיעור 32.16% + 1.71 ₪ לליטר אל""פ מ- 18%+6.16 ₪ לליטר","שיעור 32.16% + 1.71 ₪ לליטר אל""פ מ- 18%+6.16 ₪ לליטר"
"מזון ומשקאות ","משקאות אלכוהוליים","יינות","שיעור 32.16% + 1.71 ₪ לליטר אל""פ מ- 18%+6.16 ₪ לליטר","שיעור 32.16% + 1.71 ₪ לליטר אל""פ מ- 18%+6.16 ₪ לליטר","שיעור 32.16% + 1.71 ₪ לליטר אל""פ מ- 18%+6.16 ₪ לליטר","שיעור 32.16% + 1.71 ₪ לליטר אל""פ מ- 18%+6.16 ₪ לליטר"
"מזון ומשקאות ","משקאות קלים","משקאות קלים","","","",""
"מזון ומשקאות ","פירות, ירקות ופיצוחים","אתרוגים קומקווט וליים טריים","פטור","18.00%","18.00%"," 18%+1.60 ₪ לקילוגרם אל""י מ-102.96% "
"מזון ומשקאות ","פירות, ירקות ופיצוחים","ירקות","פטור","18.00%","18.00%","שיעור 62.25% "
"מזון ומשקאות ","פירות, ירקות ופיצוחים","פירות","פטור","18.00%","18.00%","שיעור 62.25% "
"מזון ומשקאות ","פירות, ירקות ופיצוחים","שימורי ירקות או פירות","פטור","18.00%","18.00%","שיעור 32.16% "
"מזון ומשקאות ","שימורים וסלטים","מוצרי חלב משומרים","","","",""
"מזון ומשקאות ","שימורים וסלטים","שימורים המכילים מוצרי בשר","","","",""
"מזון ומשקאות ","שימורים וסלטים","שימורים המכילים מוצרי דגים","","","",""
"מזון ומשקאות ","שמנים, מרקים ותבשילים","שמנים","פטור","18.00%","18.00%","18.00%"
"מזון ומשקאות ","שתיה חמה","קפה","פטור","18.00%","18.00%","18.00%"
"מזון ומשקאות ","שתיה חמה","קפסולות למכונות קפה","פטור","18.00%","18.00%","18.00%"
"מזון ומשקאות ","שתיה חמה","תה","פטור","18.00%","18.00%","18.00%"
"מזון ומשקאות ","תבלינים, רטבים וממרחים","זעפרן","פטור","18.00%","18.00%","שיעור 22.72% "
"מזון ומשקאות ","תבלינים, רטבים וממרחים","רטבים וממרחים","","","",""
"מזון ומשקאות ","תבלינים, רטבים וממרחים","ריבות ודבש","פטור","18.00%","18.00%","18.00%"
"מזון ומשקאות ","תבלינים, רטבים וממרחים","תערובת תבלינים למעט זעפרן","פטור","18.00%","18.00%","שיעור 27.44% "
"מזון ומשקאות ","תוספי תזונה וויטמינים","אבקת חלבון מעל 1.5% שומן","פטור","18.00%","18.00%","שיעור 268.16% "
"מזון ומשקאות ","תוספי תזונה וויטמינים","אבקת חלבון עד 1.5% שומן","פטור","18.00%","18.00%","שיעור 209.16% "
"מזון ומשקאות ","תוספי תזונה וויטמינים","ויטמינים","פטור","18.00%","18.00%","18.00%"
"מזון ומשקאות ","תוספי תזונה וויטמינים","מולטי ויטמינים","פטור","18.00%","18.00%","שיעור 22.72% "
"מזון ומשקאות ","תוספי תזונה וויטמינים","תוספי מזון ארוזים מראש / תזונה","פטור","18.00%","18.00%","שיעור 22.72% "
"מזון ומשקאות ","תוספי תזונה וויטמינים","תוספי תזונה להרזיה באבקה או בכדורים","","","",""
"צעצועים, תחביבים ופנאי","אומנות ומלאכה","אונקיות זהב","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","אומנות ומלאכה","כסף מזומן","פטור","פטור","פטור","פטור"
"צעצועים, תחביבים ופנאי","אומנות ומלאכה","כרטיסי ברכה","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","אומנות ומלאכה","מטבעות כסף זהב","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","אומנות ומלאכה","מכונת תפירה","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","אומנות ומלאכה","תגיות וסמלים מבד","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","אומנות ומלאכה","תגיות וסמלים ממתכת","","","",""
"צעצועים, תחביבים ופנאי","אומנות ומלאכה","תגיות וסמלים מפלסטיק","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","אמנויות לחימה","חץ וקשת","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","אמנויות לחימה","חרבות","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","אמנויות לחימה","קסדת מגן לאומנות לחימה","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","אמנויות לחימה","רוגטקה","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","טבק ועישון","טבק להרחה"," 18%+0.37 ₪ לקילוגרם "," 18%+0.37 ₪ לקילוגרם "," 18%+0.37 ₪ לקילוגרם "," 18%+0.37 ₪ לקילוגרם "
"צעצועים, תחביבים ופנאי","טבק ועישון","טבק למקטרת"," 18%+412.03 ₪ לקילוגרם "," 18%+412.03 ₪ לקילוגרם "," 18%+412.03 ₪ לקילוגרם "," 18%+412.03 ₪ לקילוגרם "
"צעצועים, תחביבים ופנאי","טבק ועישון","טבק לנרגילה"," 18%+412.03 ₪ לקילוגרם "," 18%+412.03 ₪ לקילוגרם "," 18%+412.03 ₪ לקילוגרם "," 18%+412.03 ₪ לקילוגרם "
"צעצועים, תחביבים ופנאי","טבק ועישון","טבק לסיגריות","שיעור 388.99% + 936.05 ₪ לקילוגרם אל""פ מ- 18%+1659.69 ₪ לקילוגרם","שיעור 388.99% + 936.05 ₪ לקילוגרם אל""פ מ- 18%+1659.69 ₪ לקילוגרם","שיעור 388.99% + 936.05 ₪ לקילוגרם אל""פ מ- 18%+1659.69 ₪ לקילוגרם","שיעור 388.99% + 936.05 ₪ לקילוגרם אל""פ מ- 18%+1659.69 ₪ לקילוגרם"
"צעצועים, תחביבים ופנאי","טבק ועישון","טומבק (טבק ללעיסה)","שיעור 25.08% ","שיעור 25.08% ","שיעור 25.08% ","שיעור 25.08% "
"צעצועים, תחביבים ופנאי","טבק ועישון","יחידות טבק לחימום","שיעור 336.60% + 655.23 ₪ לאלף יחידות אל""פ מ- 18%+1161.79 ₪ לאלף יחידות","שיעור 336.60% + 655.23 ₪ לאלף יחידות אל""פ מ- 18%+1161.79 ₪ לאלף יחידות","שיעור 336.60% + 655.23 ₪ לאלף יחידות אל""פ מ- 18%+1161.79 ₪ לאלף יחידות","שיעור 336.60% + 655.23 ₪ לאלף יחידות אל""פ מ- 18%+1161.79 ₪ לאלף יחידות"
"צעצועים, תחביבים ופנאי","טבק ועישון","מקטרת","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","טבק ועישון","מקססה(גריינדר)","18.00%","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","טבק ועישון","נרגילה","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","טבק ועישון","סיגריות","שיעור 336.60% + 655.23 ₪ לאלף סיגריות אל""פ מ- 18%+1161.79 ₪ לאלף סיגריות","שיעור 336.60% + 655.23 ₪ לאלף סיגריות אל""פ מ- 18%+1161.79 ₪ לאלף סיגריות","שיעור 336.60% + 655.23 ₪ לאלף סיגריות אל""פ מ- 18%+1161.79 ₪ לאלף סיגריות","שיעור 336.60% + 655.23 ₪ לאלף סיגריות אל""פ מ- 18%+1161.79 ₪ לאלף סיגריות"
"צעצועים, תחביבים ופנאי","טבק ועישון","סיגרים","שיעור 124.20% אל""פ מ- 18%+100.62 ₪ לקילוגרם","שיעור 124.20% אל""פ מ- 18%+100.62 ₪ לקילוגרם","שיעור 124.20% אל""פ מ- 18%+100.62 ₪ לקילוגרם","שיעור 124.20% אל""פ מ- 18%+100.62 ₪ לקילוגרם"
"צעצועים, תחביבים ופנאי","כלי עישון","כלי עישון","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","מחנאות וטיולים","אוהלים","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","מחנאות וטיולים","אולר","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","מחנאות וטיולים","גזיות","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","מחנאות וטיולים","טלסקופים","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","מחנאות וטיולים","כילות","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","מחנאות וטיולים","מזוודות וטרולים","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","מחנאות וטיולים","מצפן","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","מחנאות וטיולים","משקפות","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","מחנאות וטיולים","פנסים/תאורת חירום","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","מחנאות וטיולים","צידנית","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","מחנאות וטיולים","קוטל / דוחה יתושים","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","מחנאות וטיולים","שולחנות וכסאות קמפינג","פטור","18.00%","",""
"צעצועים, תחביבים ופנאי","מחנאות וטיולים","שקי שינה ","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","מחנאות וטיולים","תיקי רחצה ואיפור","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","מחנאות וטיולים","תרמילים","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","משחקים לחצר","טרמפולינות","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","נגינה ומוזיקה","אורגן חשמלי","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","נגינה ומוזיקה","גיטרות","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","נגינה ומוזיקה","כלי הקשה","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","נגינה ומוזיקה","כלי מיתר","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","נגינה ומוזיקה","כלי נגינה ","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","נגינה ומוזיקה","כלי נשיפה","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","נגינה ומוזיקה","מגברים לגיטרות","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","נגינה ומוזיקה","קלידים","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","נגינה ומוזיקה","תופים ","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","ספרים וסרטים","ספרים","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","ספרים וסרטים","עיתונים ומגזינים","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","פנסים","פנסי ראש","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","ציוד ספורט וכושר","אופנוע ים","פטור","שיעור 35.70% ","שיעור 41.60% ","שיעור 41.60% "
"צעצועים, תחביבים ופנאי","ציוד ספורט וכושר","אופני כושר","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","ציוד ספורט וכושר","הליכונים","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","ציוד ספורט וכושר","מולטי טריינרים","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","ציוד ספורט וכושר","מכשירי אימון ברטט","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","ציוד ספורט וכושר","מכשירים לאימון בטן","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","ציוד ספורט וכושר","סטפרים","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","ציוד ספורט וכושר","ספות כושר","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","ציוד ספורט וכושר","ציוד גלישה","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","ציוד ספורט וכושר","ציוד לדיג","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","ציוד ספורט וכושר","ציוד ספורט כללי למעט חץ וקשת","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","ציוד ספורט וכושר","ציוד סקי","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","ציוד ספורט וכושר","שעוני דופק וספורט ","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","ציוד ספורט וכושר","שקי איגרוף","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","צעצועים ומשחקים","בובות","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","צעצועים ומשחקים","בימבות ותלת אופניים","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","צעצועים ומשחקים","טיסנים ומסוקים","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","צעצועים ומשחקים","כדורסל ואביזרים","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","צעצועים ומשחקים","כלי רכב ממונעים","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","צעצועים ומשחקים","לגו ומשחקי הרכבה","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","צעצועים ומשחקים","מכונית על שלט","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","צעצועים ומשחקים","משחקי חשיבה והגיון","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","צעצועים ומשחקים","משחקי מחשב","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","צעצועים ומשחקים","משחקים ל Wii","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","צעצועים ומשחקים","משחקים לאקס בוקס","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","צעצועים ומשחקים","סקייטבורד ורולרבליידס","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","צעצועים ומשחקים","סקייטבורד ממונע(גלגשת)","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","צעצועים ומשחקים","פאזלים","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","צעצועים ומשחקים","פוקר ואביזרים","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","צעצועים ומשחקים","פלייסטיישן - משחקים","פטור","18.00%","18.00%","18.00%"
"צעצועים, תחביבים ופנאי","צעצועים ומשחקים","צעצועים","פטור","18.00%","18.00%","18.00%"
